OBJECTID,S_ID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,HEIGHT,CRADAVG,TRUNKHEIGHT,Lat,Long
10595,15274,2636,Maple,Red, ,Acer,rubrum, ,11.699999999999999,36.000000000000000,13.400000000000000,8,38.984835070079548,-76.949896959081300
10596,6034,354,Oak,Pin, ,Quercus,palustris, ,12.000000000000000,45.000000000000000,14.699999999999999,11,38.983944415552706,-76.943622105313679
10597,9611,3210,Spruce,Norway, ,Picea,abies, ,7.100000000000000,25.300000000000001,10.300000000000001,0,38.988294483634583,-76.951927514392224
10598,8701,0,Spruce,Norway, ,Picea,abies, ,3.300000000000000,15.000000000000000,0.000000000000000,0,38.995341876674694,-76.943624226436256
10599,9373,771,Pine,Eastern White, ,Pinus,strobus, ,27.100000000000001,46.000000000000000,21.899999999999999,1,38.986477226542213,-76.936831874874798
10600,9390,181,Pine,Loblolly, ,Pinus,taeda, ,15.600000000000000,52.600000000000001,15.199999999999999,7,38.984106505948731,-76.941997410184186
10601,10278,2782,Pine,Japanese Black, ,Pinus,thunbergii, ,11.100000000000000,26.000000000000000,15.199999999999999,6,38.989128061812650,-76.950694096395466
10602,10304,3069,Pine,Japanese Black, ,Pinus,thunbergii, ,12.900000000000000,36.200000000000003,17.300000000000001,8,38.988005329784094,-76.953107490801344
10603,9232,319,Pine,Eastern White, ,Pinus,strobus, ,14.900000000000000,41.000000000000000,21.399999999999999,7,38.983275037371371,-76.943045565246734
10604,9610,0,Hemlock,Eastern, ,Tsuga,canadensis, ,8.600000000000000,19.000000000000000,7.400000000000000,4,38.981630036492170,-76.941953509757013
10605,9344,846,Holly,American, ,Ilex,opaca, ,16.500000000000000,32.000000000000000,14.400000000000000,0,38.987171415026602,-76.940406690809994
10606,9345,2034,Pine,Eastern White, ,Pinus,strobus, ,14.000000000000000,44.000000000000000,13.500000000000000,1,38.987746838977436,-76.941389415018890
10607,9346,2035,Pine,Eastern White, ,Pinus,strobus, ,11.600000000000000,32.000000000000000,12.100000000000000,1,38.987753563222867,-76.941316781264334
10608,8728,3797,Pine,Eastern White, ,Pinus,strobus, ,4.000000000000000,17.399999999999999,7.200000000000000,1,38.988632601649229,-76.951474516337242
10609,12081,0,Maple,Red, ,Acer,rubrum, ,4.100000000000000,21.000000000000000,9.500000000000000,4,38.992794402671663,-76.950523974650665
10610,6051,359,Oak,Red, ,Quercus,rubra, ,18.000000000000000,52.000000000000000,19.800000000000001,7,38.984094684602255,-76.943663825452759
10611,6233,314,Linden,Little Leaf, ,Tilia,cordata, ,17.000000000000000,32.000000000000000,17.699999999999999,4,38.983458940589436,-76.942646430880387
10612,6642,697,Zelkova,Japanese, ,Zelkova,serrata, ,24.300000000000001,45.700000000000003,27.000000000000000,6,38.985560233665282,-76.938121142129177
10613,15368,1117,Pine,Japanese Black, ,Pinus,thunbergii, ,14.199999999999999,19.000000000000000,9.300000000000001,3,38.985208409439721,-76.948759988893670
10614,15624,2633,Pine,Eastern White, ,Pinus,strobus, ,18.600000000000001,50.000000000000000,18.800000000000001,6,38.984803835833169,-76.950198454794759
10615,9629,3209,Spruce,Norway, ,Picea,abies, ,7.200000000000000,25.899999999999999,9.800000000000001,0,38.988294453499826,-76.951854242726682
10616,14460,0,Pine,Eastern White, ,Pinus,strobus, ,1.100000000000000,6.000000000000000,1.500000000000000,0,38.984664725413381,-76.940393962948676
10617,14473,3541,Oak,Pin, ,Quercus,palustris, ,3.100000000000000,12.000000000000000,3.100000000000000,3,38.991241548011772,-76.951849088382758
10618,8501,1351,Pine,Loblolly, ,Pinus,taeda, ,0.000000000000000,17.000000000000000,0.000000000000000,0,38.989969817951632,-76.945656717163288
10619,8516,0,Pine,Eastern White, ,Pinus,strobus, ,3.800000000000000,17.000000000000000,6.200000000000000,0,38.989927477880407,-76.952270740813006
10620,15538,0,Maple,Red, ,Acer,rubrum, ,2.600000000000000,17.000000000000000,5.100000000000000,5,38.982429565775654,-76.944284129441755
10621,2926,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0.000000000000000,0.000000000000000,0.000000000000000,0,38.992421050841990,-76.950117276631218
10622,7327,0,Birch,River, ,Betula,nigra, ,0.000000000000000,22.000000000000000,6.000000000000000,0,38.990373636554786,-76.951897609976115
10623,3496,0, ,Species, ,Rhododendron,sp., ,0.000000000000000,1.000000000000000,1.000000000000000,0,38.992071349839776,-76.948406049765296
